date,guest,extra
7/8/2003,Tony Snow,
7/9/2003,Erica Jong,
7/10/2003,Carson Daly,
7/14/2003,Angelina Jolie,
7/15/2003,Gary Hart,
7/16/2003,Rowan Atkinson,
7/17/2003,Martin Lawrence,
7/21/2003,Gabrielle Union,
7/22/2003,Scott Glenn,
7/23/2003,Dick Morris,
7/24/2003,Joseph Wilson,
7/28/2003,"Paul Teutul, Jr. & Paul Teutul, Sr.",
7/29/2003,Brian Williams,
7/30/2003,Alyson Hannigan,
7/31/2003,Soledad O'Brien,
8/4/2003,Denis Leary,
8/5/2003,John Popper,
8/6/2003,Robert Duvall,
8/7/2003,Tracey Ullman,
8/11/2003,Samuel L. Jackson,
8/12/2003,Kim Cattrall,
8/13/2003,Paul Giamatti,
8/14/2003,"Again, A Look Back",
8/18/2003,Jim Hightower,
8/19/2003,Cynthia Nixon,
8/20/2003,Will Shortz,
8/21/2003,Rep. Dennis Kucinich,
9/1/2003,"I'm A Correspondent, Please Don't Fire Me Special",
9/9/2003,Al Franken,
9/10/2003,Kate Beckinsale,
9/11/2003,No Guest,
9/15/2003,"John Edwards, Cuba Gooding Jr.",
9/16/2003,Madeleine Albright,
9/17/2003,Charlie Sheen,
9/18/2003,Christina Ricci,
9/23/2003,Michael Caine,
9/24/2003,Ben Stiller,
9/25/2003,Jonah Goldberg,
9/29/2003,Jack Black,
9/30/2003,Joe Scarborough,
10/1/2003,Vivica A. Fox,
10/2/2003,Rob Lowe,
10/6/2003,Michael Moore,
10/7/2003,Live coverage of the California Recall,
10/8/2003,Sen. Hillary Clinton,
10/9/2003,Tim Robbins,
10/20/2003,Dr. Henry Kissinger,
10/21/2003,Angelina Jolie,
10/22/2003,Walter Isaacson,
10/23/2003,Anthony Hopkins,
10/27/2003,Ted Danson,
10/28/2003,Wanda Sykes,
10/29/2003,Norm Macdonald,
10/30/2003,Neal Pollack,
11/3/2003,Kyle MacLachlan,
11/4/2003,Michael Beschloss,
11/5/2003,Bob Newhart,
11/6/2003,Colin Firth,
11/10/2003,Will Ferrell,
11/11/2003,Peter Dinklage,
11/12/2003,Wyclef Jean,
11/13/2003,Brendan Fraser,
11/17/2003,Heidi Klum,
11/18/2003,Bernard Goldberg,
11/19/2003,James Spader,
11/20/2003,Billy Bob Thornton,
11/24/2003,Who Are the Daily Show? Special,
12/1/2003,Adam Goldberg,
12/2/2003,Sen. Tom Daschle,
12/3/2003,Sean Hannity & Alan Colmes,
12/4/2003,Alec Baldwin,
12/8/2003,Eva Mendes,
12/9/2003,Steve Buscemi,
12/10/2003,Sen. Zell Miller,
12/11/2003,Gen. Wesley Clark,
12/15/2003,Maggie Gyllenhaal,
12/16/2003,Ben Affleck,
12/17/2003,Julia Stiles,
12/18/2003,Natalie Portman,
1/6/2004,Tom Brokaw,
1/7/2004,Elijah Wood,
1/8/2004,Charlize Theron,
1/12/2004,Richard Lewis,
1/13/2004,Catherine Weitz,
1/14/2004,Carol Moseley-Braun,
1/15/2004,Sen. Joe Biden,
1/19/2004,Philip Seymour Hoffman,
1/20/2004,Jeff Garlin,
1/21/2004,John McCain,
1/22/2004,Erika Christensen,
1/26/2004,Ken Auletta,
1/27/2004,Richard Perle,
1/28/2004,Christine Todd Whitman,
1/29/2004,Kelsey Grammer,
2/2/2004,Randy Jackson,
2/3/2004,Donald Trump,
2/4/2004,Senator Bob Dole,
2/5/2004,Noah Wyle,
2/9/2004,Charles Lewis,
2/10/2004,Dave Chappelle,
2/11/2004,Paul Rudd,
2/12/2004,Drew Barrymore,
2/23/2004,Tyra Banks,
2/24/2004,John Podhoretz,
2/25/2004,Norah Jones,
