date,guest,extra
6/10/2014,Sebastian Junger,
6/11/2014,Senator Charles Schumer,
6/12/2014,Christopher Walken,
6/16/2014,Howard Schultz,
6/17/2014,Daniel Schulman,
6/18/2014,Kevin Hart,
6/19/2014,Hamid Al-Bayati,
6/23/2014,Bill Maher,
6/24/2014,Jennifer Esposito,
6/25/2014,Keira Knightley,
6/26/2014,Melissa McCarthy,
7/14/2014,Dahlia Lithwick,
7/15/2014,Hillary Clinton,
7/16/2014,Jerry Seinfeld,
7/17/2014,Emma Stone,
7/21/2014,Sue Turton,
7/22/2014,Richard Linklater,
7/23/2014,George Takei,
7/24/2014,Fareed Zakaria,
7/28/2014,Sonia Nazario,
7/29/2014,Sara Firth,
7/30/2014,Maggie Gyllenhaal,
7/31/2014,Aubrey Plaza,
8/4/2014,Elisabeth Moss,
8/5/2014,Helen Thorpe,
8/6/2014,Wu-Tang Clan,
8/7/2014,Tracy Droz Tragos,
8/26/2014,David Rose,
8/27/2014,Hassan Abbas,
8/28/2014,Todd Glass,
9/2/2014,Ramita Navai,
9/3/2014,Rory Kennedy,
9/4/2014,Adam Levine,
9/9/2014,Kirsten Gillibrand,
9/10/2014,Ban Ki-moon,
9/11/2014,Tavis Smiley,
9/15/2014,Ken Burns,
9/16/2014,Bill Hader,
9/17/2014,Zephyr Teachout,
9/18/2014,Bill Clinton,
9/22/2014,Jenny Nordberg,
9/23/2014,Tony Zinni,
9/24/2014,Tia Torres,
9/25/2014,Steven Johnson,
9/29/2014,Hadi al-Bahra,
9/30/2014,Ben Affleck,
10/1/2014,Lena Dunham,
10/2/2014,Ben Steele,
10/6/2014,Atul Gawande,
10/7/2014,Wyatt Cenac,
10/8/2014,Leon Panetta,
10/9/2014,Jeremy Renner,
10/13/2014,Matt Bai,
10/14/2014,Zach Galifianakis,
10/15/2014,Bill O'Reilly,
10/16/2014,Bryan Stevenson,
10/27/2014,Wendy Davis,
10/28/2014,Joaquin Castro,
10/29/2014,Ellar Coltrane,
10/30/2014,Spoon,
11/3/2014,Jake Gyllenhaal,
11/4/2014,Reince Priebus,
11/5/2014,John Cleese,
11/6/2014,James Risen,
11/10/2014,Bruce Springsteen & Frank Caruso,
11/11/2014,Samantha Power,
11/12/2014,Steve Carell,
11/13/2014,Maziar Bahari & Gael Garcia Bernal,
11/17/2014,Laura Poitras,
11/18/2014,Benedict Cumberbatch,
11/19/2014,Jessica Chastain,
11/20/2014,Eddie Redmayne,
12/1/2014,Andrew Napolitano,
12/2/2014,Sophie Delaunay,
12/3/2014,Dave Grohl,
12/4/2014,Angelina Jolie,
12/8/2014,Norman Lear,
12/9/2014,Kathryn Bigelow & Juan Zarate,
12/10/2014,Suki Kim,
12/11/2014,Mick Foley,
12/15/2014,Tim Burton,
12/16/2014,Paul McCartney,
12/17/2014,Anna Kendrick,
12/18/2014,Chris Rock,
1/5/2015,Steven Brill,
1/6/2015,Cass Sunstein,
1/7/2015,Ava DuVernay,
1/8/2015,Allison Williams,
1/12/2015,Jimmy Carter,
1/13/2015,Marco Rubio,
1/14/2015,Julianne Moore,
1/15/2015,Sienna Miller,
1/19/2015,Mike Huckabee,
1/20/2015,Jennifer Lopez,
1/21/2015,Anne Hathaway,
1/22/2015,Jennifer Aniston,
1/26/2015,Julian Castro,
1/27/2015,Jill Leovy,
1/28/2015,Oscar Isaac,
1/29/2015,Sarah Chayes,
2/2/2015,Martin Short,
2/3/2015,Bill Browder,
2/4/2015,Wes Moore,
2/5/2015,Bob Odenkirk,
2/9/2015,Patricia Arquette,
2/10/2015,David Axelrod,
2/11/2015,Colin Firth,
2/23/2015,Christine Lagarde,
2/24/2015,Lynsey Addario,
2/25/2015,Conan O'Brien,
2/26/2015,Olivia Wilde,
3/2/2015,Robert Smigel,
3/3/2015,Sigourney Weaver,
3/4/2015,Viacheslav Fetisov,
3/5/2015,Gerald Posner,
3/9/2015,John Lewis,
3/10/2015,Abbi Jacobson & Ilana Glazer,
3/11/2015,Common,
3/12/2015,Rob Corddry,
3/16/2015,Andrew Cockburn,
3/17/2015,Amanda Seyfried,
3/18/2015,Kevin Hart,
3/19/2015,Will Ferrell,
3/23/2015,Ayaan Hirsi Ali,
3/24/2015,Jon Ronson,
3/25/2015,Kirby Dick & Amy Ziering,
3/26/2015,John Hargrove,
4/6/2015,Gene Baur,
4/7/2015,Peter Dinklage,
4/8/2015,Tavis Smiley,
4/9/2015,Elizabeth Warren,
4/13/2015,Adam Horovitz,
4/14/2015,Fareed Zakaria,
4/15/2015,Billy Crystal,
4/16/2015,Eric Greitens,
4/20/2015,Gayle Tzemach Lemmon,
4/21/2015,Jeff Garlin,
4/22/2015,Dana Perino,
4/23/2015,Neil deGrasse Tyson,
4/27/2015,Elizabeth Olsen,
4/28/2015,George Stephanopoulos,
4/29/2015,Judith Miller,
4/30/2015,Kristen Wiig,
5/4/2015,Brian Grazer,
5/5/2015,Willie Nelson,
5/6/2015,Ernest Moniz,
5/7/2015,Mumford & Sons,
5/11/2015,John Legend,
5/12/2015,Tom Brokaw,
5/13/2015,Reza Aslan,
5/14/2015,Rebel Wilson,
5/26/2015,Rand Paul,
5/27/2015,Rosabeth Moss Kanter,
5/28/2015,Matt Harvey,
6/1/2015,Stanley McChrystal,
6/2/2015,Bill de Blasio,
6/3/2015,Melissa McCarthy,
6/4/2015,Steve Buscemi,
6/8/2015,Nicola Sturgeon,
6/9/2015,Nick Offerman,
6/10/2015,Colin Quinn,
6/11/2015,Mark Ruffalo,
6/15/2015,Judd Apatow,
6/16/2015,Aziz Ansari,
6/17/2015,Bill Clinton,
6/18/2015,Malala Yousafzai,
6/22/2015,Al Franken,
6/23/2015,Seth MacFarlane,
6/24/2015,Andrew Napolitano,
6/25/2015,Richard Lewis,
6/29/2015,Taylor Schilling,
6/30/2015,Jon Hamm,
7/1/2015,Kirsten Gillibrand,
7/2/2015,Sarah Vowell,
7/20/2015,7/20/2015,
7/21/2015,7/21/2015,
7/22/2015,7/22/2015,
7/23/2015,7/23/2015,
7/27/2015,7/27/2015,
7/28/2015,7/28/2015,
7/29/2015,7/29/2015,
7/30/2015,7/30/2015,
8/3/2015,8/3/2015,
8/4/2015,8/4/2015,
8/5/2015,8/5/2015,
8/6/2015,Jon's Last Show,
